,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,Atemp Category,Windspeed Category,Hum Category,temperature_cat
26,27,2011-01-02,Springer,2011,January,2,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",11.739999999999998,11.997200000000003,100.0,19.0012,1,8,9,High,Medium,Extremely High,Sedang
27,28,2011-01-02,Springer,2011,January,3,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",13.620000000000001,13.997,94.0,12.998000000000001,2,4,6,High,Low,Extremely High,Sedang
28,29,2011-01-02,Springer,2011,January,4,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",13.620000000000001,13.997,94.0,12.998000000000001,2,1,3,High,Low,Extremely High,Sedang
29,30,2011-01-02,Springer,2011,January,6,No,Sunday,No,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",11.739999999999998,11.997200000000003,77.0,19.999499999999998,0,2,2,High,Medium,Very High,Sedang
30,31,2011-01-02,Springer,2011,January,7,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",10.8,11.000600000000002,76.0,12.998000000000001,0,1,1,High,Low,Very High,Sedang
31,32,2011-01-02,Springer,2011,January,8,No,Sunday,No,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",10.8,11.000600000000002,71.0,15.001299999999999,0,8,8,High,Medium,Very High,Sedang
32,33,2011-01-02,Springer,2011,January,9,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",9.86,9.997399999999999,76.0,15.001299999999999,1,19,20,Medium,Medium,Very High,Rendah
33,34,2011-01-02,Springer,2011,January,10,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",8.919999999999998,7.000999999999998,81.0,15.001299999999999,7,46,53,Medium,Medium,Extremely High,Rendah
34,35,2011-01-02,Springer,2011,January,11,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",8.919999999999998,5.997799999999998,71.0,16.997899999999998,16,54,70,Medium,Medium,Very High,Rendah
35,36,2011-01-02,Springer,2011,January,12,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",8.919999999999998,5.997799999999998,66.0,19.999499999999998,20,73,93,Medium,Medium,Very High,Rendah
36,37,2011-01-02,Springer,2011,January,13,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",8.919999999999998,7.000999999999998,66.0,8.9981,11,64,75,Medium,Low,Very High,Rendah
37,38,2011-01-02,Springer,2011,January,14,No,Sunday,No,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",8.919999999999998,7.000999999999998,76.0,12.998000000000001,4,55,59,Medium,Low,Very High,Rendah
38,39,2011-01-02,Springer,2011,January,15,No,Sunday,No,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",7.98,5.997799999999998,81.0,11.0014,19,55,74,Medium,Low,Extremely High,Rendah
39,40,2011-01-02,Springer,2011,January,16,No,Sunday,No,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",7.98,5.997799999999998,71.0,11.0014,9,67,76,Medium,Low,Very High,Rendah
40,41,2011-01-02,Springer,2011,January,17,No,Sunday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.98,5.997799999999998,56.99999999999999,12.998000000000001,7,58,65,Medium,Low,High,Rendah
41,42,2011-01-02,Springer,2011,January,18,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",8.919999999999998,5.997799999999998,46.0,22.0028,10,43,53,Medium,Medium,High,Rendah
42,43,2011-01-02,Springer,2011,January,19,No,Sunday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.040000000000001,3.0014000000000003,42.0,30.002599999999997,1,29,30,Medium,High,High,Rendah
43,44,2011-01-02,Springer,2011,January,20,No,Sunday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",6.1,1.9982000000000006,39.0,23.9994,5,17,22,Medium,Medium,Medium,Rendah
44,45,2011-01-02,Springer,2011,January,21,No,Sunday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",4.220000000000001,-0.9982000000000006,44.0,22.0028,11,20,31,Medium,Medium,High,Rendah
45,46,2011-01-02,Springer,2011,January,22,No,Sunday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",3.2799999999999994,-2.0013999999999985,44.0,19.999499999999998,0,9,9,Medium,Medium,High,Rendah
46,47,2011-01-02,Springer,2011,January,23,No,Sunday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",2.34,-0.9982000000000006,47.0,11.0014,0,8,8,Medium,Low,High,Rendah
47,48,2011-01-03,Springer,2011,January,0,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",2.34,-2.9979999999999993,44.0,23.9994,0,5,5,Low,Medium,High,Rendah
48,49,2011-01-03,Springer,2011,January,1,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",1.4000000000000004,-4.997800000000002,44.0,27.999299999999998,0,2,2,Low,High,High,Sangat Rendah
49,50,2011-01-03,Springer,2011,January,4,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",-0.47999999999999954,-6.9976,47.0,26.0027,0,1,1,Low,Medium,High,Sangat Rendah
50,51,2011-01-03,Springer,2011,January,5,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",-0.47999999999999954,-6.9976,47.0,19.0012,0,3,3,Low,Medium,High,Sangat Rendah
51,52,2011-01-03,Springer,2011,January,6,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",-1.419999999999999,-8.997399999999999,50.0,26.0027,0,30,30,Low,Medium,High,Sangat Rendah
52,53,2011-01-03,Springer,2011,January,7,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",-1.419999999999999,-6.9976,50.0,12.998000000000001,1,63,64,Low,Low,High,Sangat Rendah
53,54,2011-01-03,Springer,2011,January,8,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",-1.419999999999999,-8.0008,50.0,19.0012,1,153,154,Low,Medium,High,Sangat Rendah
54,55,2011-01-03,Springer,2011,January,9,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",-0.47999999999999954,-6.9976,43.0,26.0027,7,81,88,Low,Medium,High,Sangat Rendah
55,56,2011-01-03,Springer,2011,January,10,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.4599999999999991,-4.997800000000002,43.0,16.997899999999998,11,33,44,Low,Medium,High,Sangat Rendah
56,57,2011-01-03,Springer,2011,January,11,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",1.4000000000000004,-4.001200000000001,40.0,22.0028,10,41,51,Low,Medium,Medium,Sangat Rendah
57,58,2011-01-03,Springer,2011,January,12,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",2.34,-2.0013999999999985,35.0,19.999499999999998,13,48,61,Medium,Medium,Medium,Rendah
58,59,2011-01-03,Springer,2011,January,13,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",3.2799999999999994,-2.0013999999999985,35.0,19.0012,8,53,61,Medium,Medium,Medium,Rendah
59,60,2011-01-03,Springer,2011,January,14,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",4.220000000000001,-0.0015999999999998238,30.0,19.0012,11,66,77,Medium,Medium,Medium,Rendah
60,61,2011-01-03,Springer,2011,January,15,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",4.220000000000001,-0.0015999999999998238,30.0,16.997899999999998,14,58,72,Medium,Medium,Medium,Rendah
61,62,2011-01-03,Springer,2011,January,16,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",4.220000000000001,-0.0015999999999998238,30.0,16.997899999999998,9,67,76,Medium,Medium,Medium,Rendah
62,63,2011-01-03,Springer,2011,January,17,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",3.2799999999999994,-0.9982000000000006,30.0,15.001299999999999,11,146,157,Medium,Medium,Medium,Rendah
63,64,2011-01-03,Springer,2011,January,18,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",3.2799999999999994,1.0015999999999998,32.0,7.0015,9,148,157,Medium,Low,Medium,Rendah
64,65,2011-01-03,Springer,2011,January,19,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",1.4000000000000004,1.0015999999999998,47.0,0.0,8,102,110,Medium,Low,High,Rendah
65,66,2011-01-03,Springer,2011,January,20,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",1.4000000000000004,-0.9982000000000006,47.0,7.0015,3,49,52,Medium,Low,High,Rendah
66,67,2011-01-03,Springer,2011,January,21,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.4599999999999991,-2.9979999999999993,64.0,8.9981,3,49,52,Low,Low,Very High,Rendah
67,68,2011-01-03,Springer,2011,January,22,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",-1.419999999999999,-6.0009999999999994,69.0,8.9981,0,20,20,Low,Low,Very High,Sangat Rendah
68,69,2011-01-03,Springer,2011,January,23,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.4599999999999991,-2.0013999999999985,55.00000000000001,7.0015,1,11,12,Medium,Low,High,Rendah
69,70,2011-01-04,Springer,2011,January,0,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",-0.47999999999999954,-4.001200000000001,55.00000000000001,7.0015,0,5,5,Low,Low,High,Sangat Rendah
70,71,2011-01-04,Springer,2011,January,1,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",-0.47999999999999954,-4.001200000000001,59.0,7.0015,0,2,2,Low,Low,High,Sangat Rendah
71,72,2011-01-04,Springer,2011,January,2,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",-1.419999999999999,-6.0009999999999994,63.0,8.9981,0,1,1,Low,Low,Very High,Sangat Rendah
72,73,2011-01-04,Springer,2011,January,4,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",-1.419999999999999,-4.001200000000001,63.0,6.0032,0,2,2,Low,Low,Very High,Sangat Rendah
73,74,2011-01-04,Springer,2011,January,5,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",-2.3600000000000003,-6.0009999999999994,68.0,7.0015,0,4,4,Low,Low,Very High,Sangat Rendah
74,75,2011-01-04,Springer,2011,January,6,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",-2.3600000000000003,-6.0009999999999994,74.0,7.0015,0,36,36,Low,Low,Very High,Sangat Rendah
75,76,2011-01-04,Springer,2011,January,7,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",-2.3600000000000003,-6.0009999999999994,74.0,8.9981,2,92,94,Low,Low,Very High,Sangat Rendah
76,77,2011-01-04,Springer,2011,January,8,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",-1.419999999999999,-6.0009999999999994,69.0,11.0014,2,177,179,Low,Low,Very High,Sangat Rendah
77,78,2011-01-04,Springer,2011,January,9,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",-0.47999999999999954,-6.0009999999999994,64.0,15.001299999999999,2,98,100,Low,Medium,Very High,Sangat Rendah
78,79,2011-01-04,Springer,2011,January,10,No,Tuesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",-0.47999999999999954,-6.9976,69.0,22.0028,5,37,42,Low,Medium,Very High,Sangat Rendah
79,80,2011-01-04,Springer,2011,January,11,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",2.34,-2.0013999999999985,51.0,19.999499999999998,7,50,57,Medium,Medium,High,Rendah
80,81,2011-01-04,Springer,2011,January,12,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",2.34,-0.9982000000000006,51.0,11.0014,12,66,78,Medium,Low,High,Rendah
81,82,2011-01-04,Springer,2011,January,13,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",3.2799999999999994,-0.9982000000000006,56.00000000000001,12.998000000000001,18,79,97,Medium,Low,High,Rendah
82,83,2011-01-04,Springer,2011,January,14,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",4.220000000000001,1.0015999999999998,52.0,15.001299999999999,9,54,63,Medium,Medium,High,Rendah
83,84,2011-01-04,Springer,2011,January,15,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",5.160000000000002,1.9982000000000006,52.0,16.997899999999998,17,48,65,Medium,Medium,High,Rendah
84,85,2011-01-04,Springer,2011,January,16,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",6.1,3.0014000000000003,49.0,16.997899999999998,15,68,83,Medium,Medium,High,Rendah
85,86,2011-01-04,Springer,2011,January,17,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",5.160000000000002,1.9982000000000006,48.0,15.001299999999999,10,202,212,Medium,Medium,High,Rendah
86,87,2011-01-04,Springer,2011,January,18,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",4.220000000000001,1.0015999999999998,48.0,12.998000000000001,3,179,182,Medium,Low,High,Rendah
87,88,2011-01-04,Springer,2011,January,19,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",3.2799999999999994,1.0015999999999998,48.0,7.0015,2,110,112,Medium,Low,High,Rendah
88,89,2011-01-04,Springer,2011,January,20,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",3.2799999999999994,1.0015999999999998,48.0,7.0015,1,53,54,Medium,Low,High,Rendah
89,90,2011-01-04,Springer,2011,January,21,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",2.34,1.9982000000000006,64.0,0.0,0,48,48,Medium,Low,Very High,Rendah
90,91,2011-01-04,Springer,2011,January,22,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",2.34,1.0015999999999998,64.0,6.0032,1,34,35,Medium,Low,Very High,Rendah
91,92,2011-01-04,Springer,2011,January,23,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",1.4000000000000004,-0.9982000000000006,69.0,6.0032,2,9,11,Medium,Low,Very High,Rendah
92,93,2011-01-05,Springer,2011,January,0,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",1.4000000000000004,1.0015999999999998,64.0,0.0,0,6,6,Medium,Low,Very High,Rendah
93,94,2011-01-05,Springer,2011,January,1,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",-0.47999999999999954,-2.9979999999999993,74.0,6.0032,0,6,6,Low,Low,Very High,Rendah
94,95,2011-01-05,Springer,2011,January,2,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",-0.47999999999999954,-2.9979999999999993,74.0,6.0032,0,2,2,Low,Low,Very High,Rendah
95,96,2011-01-05,Springer,2011,January,4,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",3.2799999999999994,-0.9982000000000006,48.0,15.001299999999999,0,2,2,Medium,Medium,High,Rendah
96,97,2011-01-05,Springer,2011,January,5,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",2.34,-0.9982000000000006,47.0,11.0014,0,3,3,Medium,Low,High,Rendah
97,98,2011-01-05,Springer,2011,January,6,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",1.4000000000000004,-2.9979999999999993,47.0,15.001299999999999,0,33,33,Low,Medium,High,Rendah
98,99,2011-01-05,Springer,2011,January,7,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.4599999999999991,-4.001200000000001,43.0,12.998000000000001,1,87,88,Low,Low,High,Sangat Rendah
99,100,2011-01-05,Springer,2011,January,8,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",1.4000000000000004,-4.001200000000001,40.0,19.999499999999998,3,192,195,Low,Medium,Medium,Sangat Rendah
100,101,2011-01-05,Springer,2011,January,9,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",2.34,-2.9979999999999993,37.0,22.0028,6,109,115,Low,Medium,Medium,Rendah
101,102,2011-01-05,Springer,2011,January,10,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",2.34,-2.9979999999999993,37.0,22.0028,4,53,57,Low,Medium,Medium,Rendah
102,103,2011-01-05,Springer,2011,January,11,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",4.220000000000001,-0.9982000000000006,33.0,22.0028,12,34,46,Medium,Medium,Medium,Rendah
103,104,2011-01-05,Springer,2011,January,12,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",4.220000000000001,-0.9982000000000006,33.0,22.0028,5,74,79,Medium,Medium,Medium,Rendah
104,105,2011-01-05,Springer,2011,January,13,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",5.160000000000002,1.0015999999999998,30.0,19.999499999999998,6,65,71,Medium,Medium,Medium,Rendah
105,106,2011-01-05,Springer,2011,January,14,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",6.1,3.0014000000000003,28.000000000000004,12.998000000000001,10,52,62,Medium,Low,Medium,Rendah
106,107,2011-01-05,Springer,2011,January,15,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",6.1,3.0014000000000003,28.000000000000004,12.998000000000001,7,55,62,Medium,Low,Medium,Rendah
107,108,2011-01-05,Springer,2011,January,16,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",6.1,5.001199999999997,28.000000000000004,6.0032,4,85,89,Medium,Low,Medium,Rendah
108,109,2011-01-05,Springer,2011,January,17,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",3.2799999999999994,-0.9982000000000006,38.0,12.998000000000001,4,186,190,Medium,Low,Medium,Rendah
109,110,2011-01-05,Springer,2011,January,18,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",3.2799999999999994,-0.0015999999999998238,38.0,8.9981,3,166,169,Medium,Low,Medium,Rendah
110,111,2011-01-05,Springer,2011,January,19,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",3.2799999999999994,1.0015999999999998,38.0,7.0015,5,127,132,Medium,Low,Medium,Rendah
111,112,2011-01-05,Springer,2011,January,20,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",2.34,-0.9982000000000006,47.0,11.0014,7,82,89,Medium,Low,High,Rendah
112,113,2011-01-05,Springer,2011,January,21,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",1.4000000000000004,-2.9979999999999993,51.0,12.998000000000001,3,40,43,Low,Low,High,Rendah
113,114,2011-01-05,Springer,2011,January,22,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.4599999999999991,-2.9979999999999993,55.00000000000001,8.9981,1,41,42,Low,Low,High,Rendah
114,115,2011-01-05,Springer,2011,January,23,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",1.4000000000000004,1.0015999999999998,47.0,0.0,1,18,19,Medium,Low,High,Rendah
115,116,2011-01-06,Springer,2011,January,0,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.4599999999999991,-0.0015999999999998238,55.00000000000001,0.0,0,11,11,Medium,Low,High,Rendah
116,117,2011-01-06,Springer,2011,January,1,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",-0.47999999999999954,-0.9982000000000006,64.0,0.0,0,4,4,Medium,Low,Very High,Rendah
117,118,2011-01-06,Springer,2011,January,2,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",-0.47999999999999954,-0.9982000000000006,64.0,0.0,0,2,2,Medium,Low,Very High,Rendah
118,119,2011-01-06,Springer,2011,January,4,No,Thursday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",-0.47999999999999954,-2.9979999999999993,64.0,6.0032,0,1,1,Low,Low,Very High,Rendah
119,120,2011-01-06,Springer,2011,January,5,No,Thursday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",-1.419999999999999,-4.001200000000001,69.0,6.0032,0,4,4,Low,Low,Very High,Sangat Rendah
120,121,2011-01-06,Springer,2011,January,6,No,Thursday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",-1.419999999999999,-4.997800000000002,63.0,7.0015,0,36,36,Low,Low,Very High,Sangat Rendah
121,122,2011-01-06,Springer,2011,January,7,No,Thursday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",-0.47999999999999954,-0.9982000000000006,59.0,0.0,0,95,95,Medium,Low,High,Rendah
122,123,2011-01-06,Springer,2011,January,8,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",-0.47999999999999954,-0.9982000000000006,59.0,0.0,3,216,219,Medium,Low,High,Rendah
123,124,2011-01-06,Springer,2011,January,9,No,Thursday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.4599999999999991,-0.0015999999999998238,51.0,0.0,6,116,122,Medium,Low,High,Rendah
